run;weight;alpha;beta;harbourBonus;dist
778;prom;1.49;0.01;1.90;78212.02
820;prom;1.62;0.02;1.79;78224.34
608;prom;1.55;0.13;1.94;78232.35
621;prom;1.78;0.35;2.00;78238.15
439;prom;1.29;0.06;1.91;78240.47
211;prom;1.21;0.04;1.81;78257.32
99;prom;1.50;0.06;1.69;78257.56
541;prom;1.85;0.50;1.94;78258.57
659;prom;1.39;0.07;1.74;78263.21
689;prom;1.34;0.02;1.64;78263.76
260;prom;1.58;0.20;1.82;78264.80
867;prom;1.45;1.44;1.99;78271.28
432;prom;1.70;1.57;1.96;78278.19
80;prom;1.17;1.72;1.97;78280.31
300;prom;0.85;1.65;1.98;78282.43
340;prom;0.25;1.53;1.99;78283.32
584;prom;1.26;1.63;1.95;78285.45
951;prom;1.54;0.09;1.58;78286.54
889;prom;0.86;0.39;1.95;78287.75
200;prom;1.22;0.79;1.94;78289.20
198;prom;0.54;1.38;1.96;78291.27
347;prom;1.42;1.06;1.93;78291.52
354;prom;1.01;1.86;1.94;78292.40
386;prom;0.95;1.05;1.94;78292.57
793;prom;1.88;0.37;1.73;78293.78
498;prom;1.83;0.38;1.73;78296.15
379;prom;1.33;0.64;1.90;78298.51
122;prom;1.96;0.14;1.47;78299.20
59;prom;0.02;1.02;1.94;78299.90
585;prom;1.06;0.47;1.90;78303.47
307;prom;0.65;1.61;1.92;78304.59
736;prom;0.31;1.29;1.92;78305.66
830;prom;0.49;1.41;1.92;78306.19
348;prom;1.81;1.36;1.86;78311.90
400;prom;0.38;1.48;1.90;78313.67
1;prom;0.87;1.41;1.88;78314.20
534;prom;1.11;0.62;1.85;78320.35
885;prom;1.22;0.77;1.85;78321.00
623;prom;0.34;1.51;1.87;78321.16
669;prom;1.35;1.87;1.84;78322.75
222;prom;1.53;0.60;1.81;78323.82
819;prom;1.83;0.90;1.78;78326.98
504;prom;1.32;1.19;1.83;78328.13
629;prom;1.66;0.05;1.29;78330.44
704;prom;0.24;1.15;1.84;78334.88
710;prom;1.12;1.38;1.82;78335.13
558;prom;1.09;1.64;1.81;78338.19
636;prom;0.15;0.38;1.82;78338.58
665;prom;0.95;1.34;1.81;78340.43
499;prom;1.97;1.95;1.76;78341.36
999;prom;1.25;1.08;1.79;78341.99
185;prom;0.48;1.55;1.81;78344.30
833;prom;2.00;0.15;1.30;78346.71
32;prom;0.06;1.36;1.80;78348.77
869;prom;1.52;0.83;1.76;78350.10
939;prom;0.99;1.02;1.78;78350.29
570;prom;1.22;0.35;1.75;78351.91
436;prom;1.28;1.75;1.77;78351.94
430;prom;0.10;1.29;1.79;78353.32
909;prom;1.89;0.52;1.59;78353.50
423;prom;1.66;1.18;1.75;78354.91
422;prom;0.12;1.53;1.79;78356.01
395;prom;1.43;0.49;1.73;78356.13
