code;cost
9_35;889878
9_36;373384
9_37;24470
9_38;395320
9_39;219047
9_40;504237
9_41;1086956
9_42;1112386
9_43;312275
9_44;369047
9_45;579627
9_46;797668
9_47;545306
9_48;514824
9_49;403274
9_50;883552
9_51;604552
9_52;1448016
9_53;1115578
9_54;827285
9_55;682856
9_56;552120
9_57;531303
9_58;996208
9_59;347126
9_60;291001
9_61;391321
9_62;777639
9_63;653197
9_64;994306
9_65;847436
9_66;460333
9_67;1606185
9_68;22136
9_69;6926
9_70;292683
9_71;271175
9_72;95781
9_73;326580
9_74;1276189
9_75;833887
9_76;310539
9_77;240290
9_78;573140
9_79;393962
9_80;1016492
9_81;83495
9_82;22197
9_83;455376
9_84;917071
9_85;453056
9_86;583596
9_87;524822
9_88;430815
9_89;934815
9_90;382803
9_91;668451
9_92;959349
9_93;193411
9_94;361732
9_95;891095
9_96;899000
9_97;677262
9_98;770788
9_99;1033741
9_100;470463
9_101;755290
9_102;1109012
9_103;947348
9_104;1231576
9_105;750694
9_106;189571
9_107;1160482
9_108;772920
9_109;284346
9_110;1162779
9_111;305635
9_112;573854
9_113;608880
9_114;889497
9_115;1061059
9_116;993457
9_117;881890
9_118;1268428
9_119;462181
9_120;798247
9_121;1080716
9_122;638256
9_123;671289
9_124;279673
9_125;854310
9_126;1259308
9_127;630015
9_128;632774
9_129;773739
9_130;1215398
9_131;850774
9_132;944740
9_133;865385
9_134;544785
9_135;845857
9_136;1108356
9_137;1002970
9_138;889765
9_139;971679
9_140;1040132
10_1;1613606
10_2;443147
10_3;46347
10_4;247049
10_5;20428
10_6;539685
10_7;325581
10_8;202715
10_9;526685
10_10;0
10_11;628257
10_12;1428346
10_13;22598
10_14;680930
10_15;113349
10_16;539211
10_17;52662
10_18;16980
10_19;1607620
10_20;432950
10_21;295930
10_22;753755
10_23;539040
10_24;431152
10_25;408925
10_26;538193
10_27;473729
10_28;473109
10_29;438916
10_30;761538
10_31;588278
10_32;718676
10_33;414264
10_34;116710
10_35;523458
10_36;269692
10_37;500755
10_38;321910
10_39;351197
10_40;179944
10_41;791464
10_42;1386780
10_43;299369
10_44;253031
10_45;128572
10_46;453991
10_47;39453
10_48;149832
10_49;258102
10_50;537519
10_51;357521
10_52;1787911
10_53;1362815
10_54;652182
10_55;477975
10_56;40907
10_57;187212
10_58;698908
10_59;214935
10_60;324705
10_61;681084
10_62;388446
10_63;527386
10_64;867689
10_65;489892
10_66;67179
10_67;1901191
10_68;547737
10_69;519295
10_70;773234
10_71;270250
10_72;621198
10_73;809714
10_74;1541451
10_75;457800
10_76;797463
10_77;298060
10_78;102390
10_79;141494
10_80;691431
10_81;441980
10_82;543889
10_83;85754
10_84;591406
10_85;244195
10_86;100827
10_87;400717
10_88;344833
10_89;609754
10_90;328529
10_91;258738
10_92;862890
10_93;347328
10_94;369321
10_95;482534
10_96;510943
10_97;737884
10_98;435733
10_99;736441
10_100;516804
10_101;642890
10_102;1544432
10_103;663655
10_104;944167
10_105;436841
10_106;334514
10_107;1430123
10_108;459127
10_109;245486
10_110;1239006
10_111;218750
10_112;160723
10_113;655963
10_114;527875
10_115;735718
10_116;667792
10_117;1358288
10_118;981019
10_119;938928
10_120;431776
10_121;1086721
10_122;385606
10_123;370798
10_124;766597
10_125;527028
10_126;971899
10_127;367132
10_128;1109024
10_129;960375
10_130;970901
